Tarih,Tweet
2026-03-11 00:10,ben de bir buçuk yıl garson olarak çalıştım ve hep hanımefendi beyefendi derdim ama insanlar çok laubali idi ben rahatsız oluyordum insanlar bırakmıyor ki işini yapsın ve ben büyük ve hep yoğun olan bir yerde çalıştım en sonunda istifa ettim kafayı yedirttiler bana müşteriler ya
2026-03-11 00:10,"3 yıl bağlı çalıştım birkaç ay önce bu komik rakamların senin yeteneğin ya da kıdeminle alakalı olmadığını ve asla emeğinin karşılığını alamayacağını fark ettiğim için istifa ettim. Legal 500 ofislerden ayrılırken garson olsam daha çok kazanırım dediğimde “kendine yakıştırıyorsan git garson ol o zaman :)” dendi. Çünkü benden başka bu paraya çalışacak enayi bulmak onlar için çok kolaydı. Tüm işini sizin yaptığınız patronunuzun uyap kullanmayı bile bilmediği halde sizden neler beklediğini anlatmama bile gerek yok. Bağlı çalışarak ne mesleki ne de ekonomik olarak tatmin olamazsınız. Sizi asla ofislerine ortak yapmayacaklar, belki 10-15 yıl boyunca çalışırsanız biraz yüzde verip tabelaya küçücük adınızı yazıp gözünüzü boyarlar. Avukatlık böyle bir meslek değil dostlarım umarım hepiniz gözünüzü açar bu rezil işveren avukatlardan kurtulursunuz. Gerekirse cmk yapın ya da başka bir gelir kapısı arayın. Herkes maaş konuşması yaparken benim okuduğum fakülteye ve kendime saygım var diye düşünürse bu vampirler de ya kendi işlerini kendileri yapar ya da hak edene hakkını vermek zorunda kalır. Allah anası babası dayısı çevresi olmayan tüm meslektaşlarıma sabır ve kolaylık versin."
2026-03-11 00:10,Ooho sen çok geride kaldın ya ben ordan istifa ettim çay işçisi oldum şimdi de garson
2026-03-11 00:10,Bende balık market ve restaurant da garson oldum baktım patronu dövme hayalleri kuruyorum sinirden stresten sacım beyazladı patrona sövüp istifa ettim 🙂
2026-03-11 00:10,"Küba’da milletvekiliydim, benim maaşım garson ile eşit olamaz diyerek istifa ettim. Türkiye’de kapitalist bir ArtDictator oldum.   Doğru bilgidir, yayalım"
2026-03-11 00:10,"bu ülkede doktor oldum istifa ettim şimdi, Almanya da garson İngiltere'de kurye olmak için görüşmeler yapıyorum, beğenmiyorsan git dediniz ya gidiyorum"
2026-03-11 00:10,Motosiklet almak için Garson oldum 2.Günde Kapitalizm düşmanlığım fırladı istifa ettim oyuncuk motor zor alıyorum :(
2026-03-11 00:22,++oradan imza atmadan ayrıldım. Eğitim paramı ikinci ayın sonunda vereceklerini söylemişlerdi. İşe girerken barista eğitimi aldığıma dair sertifikamın olacağını söylemişlerdi oysa 6 ay sonunda veriyorlarmış emek verdiğimle kaldıktan sonra müdüre bir mesaj hazırladım
2026-03-11 00:22,tam zamanlıydı üniler yüz yüzeye dönünce ayrıldım pek tavsiye edeceğimi söylemem ama deneyimsiz barista alıp eğitiyorlar eğer çalışma şartlarını sorun etmiyorsan
2026-03-11 00:22,olum benim eskiden çalıştığım cafede bi barista vardı çocuğun tek anlaşabildiği kişi bendim. baya iyi arkadaştık. neyse ben oradan ayrıldım öyle bitti muhabbetimiz. bugün konuşma fırsatım oldu kendisiyle. amına kodumun dölüne dedim ki seçimde naptın kime oy verdin
